id,nombre_es,nombre_en,descripcion_es,descripcion_en
,Anal¡tico,Analytical,"Exposici¢n que presenta la caracter¡stica de desagregar en sus partes componentes un todo, y en la cual existe un examen o identificaci¢n de las relaciones que se establecen entre ellas y de ‚stas con el todo.",
,Aplicado,Applied,Exposici¢n o demostraci¢n pr ctica de alguna t‚cnica o metodolog¡a. Resultados de observaciones cient¡ficas o t‚cnicas. Presentaci¢n de resultados estad¡sticos.,
,Caso cl¡nico,Clinical case,"Exposici¢n sobre los efectos de alg£n medicamento, intervenci¢n quir£rgica, tratamiento o terapia, de alg£n fen¢meno, enfermedad f¡sica o mental incluyendo malformaciones, en los campos de la biomedicina o ciencias del comportamiento. Se aplica tambi‚n a estudios cl¡nicos y reportes de casos.",
,Cr¡tico,Critical,"Exposici¢n fundamentada en la cual se se¤ala lo correcto y/o incorrecto, los aciertos y/o fallas de un planteamiento hecho sobre una teor¡a, fen¢meno, evento, proceso u objeto determinado.",
,Descriptivo,Descriptive,"Exposici¢n general sobre las propiedades y caracter¡sticas de alg£n fen¢meno, objeto, proceso o sujeto.",
,Divulgaci¢n,Divulgation,"Exposici¢n que puede no ser especializada y que persigue difundir en t‚rminos generales alg£n objeto, fen¢meno o teor¡a.",
,Experimental,Experimental,Corroboraci¢n o demostraci¢n pr ctica de alguna teor¡a o hip¢tesis vali‚ndose del m‚todo experimental o m‚todos estad¡sticos. Resultados de observaciones cient¡ficas o t‚cnicas.,
,Hist¢rico,Historical,"Exposici¢n retrospectiva de los or¡genes y evoluci¢n de cualquier evento, fen¢meno, objeto, proceso, sujeto o teor¡a.",
,Literario,Literary,"Exposici¢n de tipo literario, producto de la imaginaci¢n.",
,Prospectivo,Prospective,"Exposici¢n que plantea las perspectivas, tendencias, proyecciones o desarrollo futuro de alg£n evento, fen¢meno, tecnolog¡a, teor¡a u objeto determinado.",
,Socioecon¢mico,Socioeconomic,Exposici¢n que plantea situaciones derivadas b sicamente de aspectos econ¢micos y sociales.,
,Taxon¢mico,Taxonomy,"Exposici¢n descriptiva sobre las caracter¡sticas anat¢micas, fisiol¢gicas o ecol¢gicas de alg£n vegetal, animal o ambiente y de acuerdo con la clasificaci¢n o esquema biol¢gico de las especies y medios naturales. Se usa exclusivamente en biolog¡a.",
,Te¢rico,Theoretical,"Exposici¢n de alguna teor¡a, hip¢tesis, planteamiento o concepto sin pretender su demostraci¢n pr ctica o experimental.",
