id	nombre_es	nombre_en
	Abu Dabi	Abu Dhabi
	Afganistán	Afghanistan
	Africa	Africa
	Africa Anglófona	English-Speaking Africa
	Africa Central	Central Africa
	Africa del Este	Eastern Africa
	Africa del Norte	Northern Africa
	Africa del Oeste	Western Africa
	Africa del Sur	Southern Africa
	Africa Francófona	French-Speaking Africa
	Africa Oriental	East Africa
	Africa Portuguesa	Portuguese Africa
	Ajmán	Ajman
	Albania	Albania
	Alemania	Germany
	Amazonas	Amazon
	América	Americas
	América Central	Central America
	América del Norte	North America
	América del Sur	South America
	América Latina	Latin America
	Andes	Andes
	Andorra	Andorra
	Angloamérica	Angloamerica
	Angola	Angola
	Anguila	Anguilla
	Antártida	Antarctica
	Antigua y Barbuda	Antigua and Barbuda
	Antillas	Antilles
	Antillas Francesas	French Antilles
	Antillas Holandesas (para documentos históricos)	Netherlands Antilles
	Arabia Saudita	Saudi Arabia
	Argelia	Algeria
	Argentina	Argentina
	Armenia	Armenia
	Artico	Arctic Ocean
	Aruba	Aruba
	Asia	Asia
	Asia Central	Central Asia
	Asia del Este	East Asia
	Asia del Sur	South Asia
	Asia Occidental	Western Asia
	Atlántico	Atlantic Ocean
	Australasia	Australasia
	Australia	Australia
	Austria	Austria
	Azerbaiyán	Azerbaijan
	Bahamas	Bahamas
	Bangladesh	Bangladesh
	Barbados	Barbados
	Baréin	Bahrain
	Belarús	Belarus
	Bélgica	Belgium
	Belice	Belize
	Benin	Benin
	Bermudas	Bermuda
	Bolivia	Bolivia
	Bonaire	Bonaire
	Bophuthatswana	Bophuthatswana
	Bosnia y Herzegovina	Bosnia and Herzegovina
	Botswana	Botswana
	Brasil	Brazil
	Brunéi	Brunei
	Bulgaria	Bulgaria
	Buraimi	Buraimi
	Burkina Faso	Burkina Faso
	Burundi	Burundi
	Bután	Buthan
	Cabo Verde	Cape Verde
	Camerún	Cameroon
	Canadá	Canada
	Canal de Panamá        	Panama Canal
	Caribe	Caribbean
	Chad	Chad
	Checoslovaquia (Para documentos históricos)	Czechoslovakia
	Chile	Chile
	China	China
	Chipre	Cyprus
	Ciskei	Ciskei
	Colombia	Colombia
	Comoras	Comoros
	Comunidad Británica	Commonwealth
	Congo	Congo
	Cono Sur	Southern Cone
	Corea	Korea
	Corea del Norte	North Korea
	Corea del Sur	South Korea
	Costa de Marfil	Ivory Coast
	Costa Rica	Costa Rica
	Croacia	Croatia
	Cuba	Cuba
	Cuenca del Pacífico	Pacific Rim
	Cultura Inca	Inca Culture
	Cultura Maya	Mayan Culture
	Curazao	Curazao
	Dinamarca	Denmark
	Dominica	Dominica
	Dubái	Dubai
	Ecuador	Ecuador
	Egipto	Egypt
	El Salvador	El Salvador
	Emiratos Arabes Unidos	United Arab Emirates
	Eritrea	Eritrea
	Escandinavia	Scandinavia
	Escocia	Scotland
	Eslovaquia	Slovakia
	Eslovenia	Slovenia
	España	Spain
	Estados Federados de Micronesia	Federated States of Micronesia
	Estados Unidos de América	United States of America
	Estonia	Estonia
	Estrecho de Magallanes	Magellan Strait
	Etiopía	Ethiopia
	Europa	Europe
	Europa Central	Central Europe
	Europa del Norte	Northern Europe
	Europa del Sur	Southern Europe
	Europa Occidental	Western Europe
	Europa Oriental	Eastern Europe
	Fiji	Fiji
	Filipinas	Philippines
	Finlandia	Finland
	Francia	France
	Fuyaira	Fujairah
	Gabón	Gabon
	Gales	Wales
	Gambia	Gambia
	Georgia	Georgia
	Ghana	Ghana
	Gibraltar	Gibraltar
	Golfo de California	Gulf of California
	Golfo de Cariaco	Gulf of Cariaco
	Golfo de México	Gulf of Mexico
	Gran Bretaña	Great Britain
	Granada	Grenada
	Grecia	Greece
	Grecia Clásica	Ancient Greece
	Groenlandia	Greenland
	Grupo Andino	Andean Group
	Guadalupe	Guadeloupe
	Guam	Guam
	Guatemala	Guatemala
	Guayana Británica	British Guiana
	Guayana Francesa	French Guiana
	Guayana Holandesa	Dutch Guiana
	Guinea	Guinea
	Guinea Ecuatorial	Equatorial Guinea
	Guinea-Bissau	Guinea-Bissau
	Guyana	Guyana
	Haití	Haiti
	Hispanoamérica	Spanish America
	Holanda	Holland
	Honduras	Honduras
	Honduras Británica   	British Honduras
	Hong Kong	Hong Kong
	Hungría	Hungary
	Iberoamérica	Iberoamerica
	India	India
	Indias	Indies
	Indias Occidentales	West Indies
	Indias Orientales	East Indies
	Indonesia	Indonesia
	Inglaterra	England
	Irak	Iraq
	Irán	Iran
	Irlanda	Ireland
	Irlanda del Norte	North Ireland
	Islandia	Iceland
	Islas Caimanes	Cayman Islands
	Islas Cocos	Cocos Islands
	Islas Comores	Comoros
	Islas Cook	Cook Islands
	Islas Feroe	Faeroe Islands
	Islas Malvinas	Falkland Islands
	Islas Marianas del Norte	Northern Marianas Islands
	Islas Marshall	Marshall Islands
	Islas Salomón	Solomon Islands
	Islas Turcas y Caicos	Turks and Caicos Islands
	Islas Vírgenes Británicas	British Virgin Islands
	Islas Vírgenes Norteamericanas	USA Virgin Islands
	Israel	Israel
	Italia	Italy
	Jamaica	Jamaica
	Japón	Japan
	Jordania	Jordan
	Kampuchea	Kampuchea
	Kazajstán	Kazakhstan
	Kenia	Kenya
	Kirguistán	Kyrgyzstan
	Kiribati	Kiribati
	Kuwait	Kuwait
	La Española	Hispaniola
	La Guayana	Guiana
	Laos	Laos
	Lesotho	Lesotho
	Letonia	Latvia
	Líbano	Lebanon
	Liberia	Liberia
	Libia	Libya
	Liechtenstein	Liechtenstein
	Lituania	Lithuania
	Luxemburgo	Luxembourg
	Macao	Macao
	Macedonia	Macedonia
	Madagascar	Malagasy Republic
	Magreb	Maghreb
	Mahoré	Mahore
	Malasia	Malaysia
	Malawi	Malawi
	Maldivas	Maldives
	Malí	Mali
	Malta	Malta
	Marruecos	Morocco
	Martinica	Martinique
	Mauricio	Mauritius
	Mauritania	Mauritania
	Medio Oriente	Middle East
	Melanesia	Melanesia
	Mesoamérica	Mesoamerica
	México	Mexico
	Micronesia	Micronesia
	Midway	Midway
	Moldova	Moldova
	Mónaco	Monaco
	Mongolia	Mongolia
	Montserrat	Montserrat
	Mozambique	Mozambique
	Myanmar	Myanmar
	Namibia	Namibia
	Naurú	Nauru
	Nepal	Nepal
	Nicaragua	Nicaragua
	Níger	Niger
	Nigeria	Nigeria
	Niue	Niue
	Noruega	Norway
	Nueva Caledonia	New Caledonia
	Nueva Zelandia	New Zealand
	Nuevas Hébridas     	New Hebrides
	Oceanía	Oceania
	Océano Antártico	Southern Ocean
	Océano Artico     	Arctic Ocean
	Océano Atlántico     	Atlantic Ocean
	Océano Indico	Indian Ocean
	Océano Pacífico	Pacific Ocean
	Omán	Oman
	Pacífico	Pacific Ocean
	Países Arabes	Arab Countries
	Países Balcánicos	Balkan Countries
	Pakistán	Pakistan
	Palau	Palau
	Palestina	Palestine
	Panamá	Panama
	Papúa Nueva Guinea	Papua New Guinea
	Paraguay	Paraguay
	Patagonia	Patagonia
	Perú	Peru
	Pitcairn	Pitcairn
	Polinesia	Polynesia
	Polinesia Francesa	French Polynesia
	Polonia	Poland
	Portugal	Portugal
	Puerto Rico	Puerto Rico
	Qatar	Qatar
	Ras al-Jaima	Ras Al Khaimah
	Reino Unido	United Kingdom
	República Arabe Saharaui Democrática	Sahrawi Arab Democratic Republic
	República Centroafricana	Central African Republic
	República Checa	Czech Republic
	República Democrática Alemana	German Democratic Republic
	República Democrática del Congo	Democratic Republic of the Congo
	República Dominicana	Dominican Republic
	República Federal Alemana	Federal Republic of Germany
	Reunión	Reunion
	Ruanda	Rwanda
	Rumania	Romania
	Rusia	Russia
	Sahara Occidental	Western Sahara
	Samoa Americana	American Samoa
	Samoa Occidental	Western Samoa
	San Cristóbal y Nevis	Saint Kitts Nevis
	San Marino	San Marino
	San Pedro y Miguelón	Saint Pierre and Miquelon
	San Vicente y las Granadinas	Saint Vincent and the Grenadines
	Santa Elena y Ascención	Saint Helena and Ascension
	Santa Lucía	Saint Lucia
	Santo Tomé y Príncipe	Sao Tome and Principe
	Sarja	Sharjah
	Senegal	Senegal
	Seychelles	Seychelles
	Sierra Leona	Sierra Leone
	Singapur	Singapore
	Sint Maarten	Sint Maarten
	Siria	Syria
	Somalia	Somalia
	Sri Lanka	Sri Lanka
	Suazilandia	Swaziland
	Sudáfrica	South Africa
	Sudán	Sudan
	Sudeste Asiático	Southeast Asia
	Suecia	Sweden
	Suiza	Switzerland
	Surinam	Suriname
	Tailandia	Thailand
	Taiwán	Taiwan
	Tanzania	Tanzania
	Tayikistán	Tajikistan
	Timor Oriental	East Timor
	Togo	Togo
	Tokelau	Tokelau
	Tonga	Tonga
	Transkei	Transkei
	Trinidad y Tobago	Trinidad and Tobago
	Tristán da Cunha	Tristan da Cunha
	Túnez	Tunisia
	Turkmenistán	Turkmenistan
